Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:18:41.914703,14:18:43.540955,1,-1.0
1,14:18:41.914703,14:18:43.916903,1,-1.0
1,14:18:41.914703,14:18:44.128648,1,-1.0
1,14:18:41.914703,14:18:44.329409,1,-1.0
1,14:18:41.914703,14:18:44.528692,1,-1.0
1,14:18:41.914703,14:18:44.707437,1,-1.0
1,14:18:41.914703,14:18:44.884331,1,-1.0
1,14:18:41.914703,14:18:45.071720,1,-1.0
1,14:18:41.914703,14:18:45.263871,1,-1.0
1,14:18:41.914703,14:18:45.569668,1,-1.0
1,14:18:41.914703,14:18:45.795403,1,-1.0
1,14:18:41.914703,14:18:45.986646,1,-1.0
1,14:18:41.914703,14:18:46.258802,1,-1.0
1,14:18:41.914703,14:18:46.459400,1,-1.0
1,14:18:41.914703,14:18:46.649443,1,-1.0
1,14:18:41.914703,14:18:46.858529,1,-1.0
1,14:18:41.914703,14:18:47.051029,1,-1.0
1,14:18:41.914703,14:18:47.273422,1,-1.0
1,14:18:41.914703,14:18:47.463197,1,-1.0
1,14:18:41.914703,14:18:47.650780,1,-1.0
1,14:18:41.914703,14:18:47.850595,1,-1.0
1,14:18:41.914703,14:18:48.040091,1,-1.0
1,14:18:41.914703,14:18:48.240988,1,-1.0
1,14:18:41.914703,14:18:48.442696,1,-1.0
1,14:18:41.914703,14:18:48.739731,1,-1.0
1,14:18:41.914703,14:18:49.073176,1,-1.0
1,14:18:41.914703,14:18:49.416599,1,-1.0
1,14:18:41.914703,14:18:50.582179,1,-1.0
1,14:18:41.914703,14:18:51.722939,-1,-1.0
1,14:18:41.914703,14:18:51.978860,-1,-1.0
1,14:18:41.914703,14:18:52.192248,-1,-1.0
1,14:18:41.914703,14:18:52.425156,-1,-1.0
1,14:18:41.914703,14:18:52.666292,-1,-1.0
1,14:18:41.914703,14:18:52.919210,-1,-1.0
1,14:18:41.914703,14:18:53.166905,-1,-1.0
1,14:18:41.914703,14:18:53.421691,-1,-1.0
1,14:18:41.914703,14:18:53.747261,-1,-1.0
1,14:18:41.914703,14:18:54.018799,-1,-1.0
1,14:18:41.914703,14:18:54.306987,-1,-1.0
1,14:18:41.914703,14:18:54.949117,-1,-1.0
1,14:18:41.914703,14:18:55.354833,1,-1.0
1,14:18:41.914703,14:18:55.545187,1,-1.0
1,14:18:41.914703,14:18:55.689709,1,-1.0
1,14:18:41.914703,14:18:55.857484,1,-1.0
1,14:18:41.914703,14:18:56.025332,1,-1.0
1,14:18:41.914703,14:18:56.224837,1,-1.0
1,14:18:41.914703,14:18:56.413247,1,-1.0
1,14:18:41.914703,14:18:56.590642,1,-1.0
1,14:18:41.914703,14:18:56.780444,1,-1.0
1,14:18:41.914703,14:18:56.990009,1,-1.0
1,14:18:41.914703,14:18:57.178506,1,-1.0
1,14:18:41.914703,14:18:57.357026,1,-1.0
1,14:18:41.914703,14:18:57.557255,1,-1.0
1,14:18:41.914703,14:18:57.769608,1,-1.0
1,14:18:41.914703,14:18:57.962013,1,-1.0
1,14:18:41.914703,14:18:58.149521,1,-1.0
1,14:18:41.914703,14:18:58.360998,1,-1.0
1,14:18:41.914703,14:18:58.562676,1,-1.0
1,14:18:41.914703,14:18:58.763189,1,-1.0
1,14:18:41.914703,14:18:58.963340,1,-1.0
1,14:18:41.914703,14:18:59.164264,1,-1.0
1,14:18:41.914703,14:18:59.376825,1,-1.0
1,14:18:41.914703,14:18:59.568944,1,-1.0
1,14:18:41.914703,14:18:59.777769,1,-1.0
1,14:18:41.914703,14:18:59.978321,1,-1.0
1,14:18:41.914703,14:19:00.178382,1,-1.0
1,14:18:41.914703,14:19:00.379642,1,-1.0
1,14:18:41.914703,14:19:00.601451,1,-1.0
1,14:18:41.914703,14:19:00.825156,1,-1.0
1,14:18:41.914703,14:19:01.056884,1,-1.0
1,14:18:41.914703,14:19:01.340373,1,-1.0
1,14:18:41.914703,14:19:01.606321,1,-1.0
1,14:18:41.914703,14:19:01.928548,1,-1.0
1,14:18:41.914703,14:19:02.313559,1,-1.0
